port_code,city,state_code,new_city
MWH,MOSES LAKE GRANT COUNTY ARPT,WA,Moses Lake
OLY,OLYMPIA,WA,Olympia
ORO,OROVILLE,WA,Oroville
PWB,PASCO,WA,Pasco
PIR,POINT ROBERTS,WA,Point Roberts
PNG,PORT ANGELES,WA,Port Angeles
PTO,PORT TOWNSEND,WA,Port Townsend
SEA,SEATTLE,WA,Seattle
SPO,SPOKANE,WA,Spokane
TAC,TACOMA,WA,Tacoma
PSC,TRI-CITIES - PASCO,WA,Pasco
VAN,VANCOUVER,WA,Vancouver
GRB,GREEN BAY,WI,Green Bay
MNW,MANITOWOC,WI,Manitowoc
MIL,MILWAUKEE,WI,Milwaukee
MSN,TRUAX FIELD - DANE COUNTY,WI,Madison
CHS,CHARLESTON,WV,Charleston
CLK,CLARKSBURG,WV,Clarksburg
BLF,MERCER COUNTY,WV,Bluefield
CSP,CASPER,WY,Casper
AG0,MAGNOLIA,AR,Magnolia
BHM,BAR HARBOR,ME,Bar Harbor
BHX,BIRMINGHAM,AL,Birmingham
CAK,AKRON,OH,Akron
FOK,SUFFOLK COUNTY,NY,Suffolk County
LND,LANDER,WY,Lander
MAR,MARFA,TX,Marfa
MLI,MOLINE,IL,Moline
RIV,RIVERSIDE,CA,Riverside
RME,ROME,NY,Rome
VNY,VAN NUYS,CA,Los Angeles
YUM,YUMA,AZ,Yuma
